,Time To Goal,MSE,Model,Trial
14478,0.9,0.6823278665542603,MP-S1,723
14479,1.0,0.4905450642108917,MP-S1,723
14480,0.0,0.8039210438728333,MP-S1,724
14481,0.05,0.7329334020614624,MP-S1,724
14482,0.1,0.646319568157196,MP-S1,724
14483,0.15,0.6769351363182068,MP-S1,724
14484,0.2,0.7316233515739441,MP-S1,724
14485,0.25,0.7741943597793579,MP-S1,724
14486,0.3,0.9202404618263245,MP-S1,724
14487,0.35,1.0839074850082397,MP-S1,724
14488,0.4,1.4016754627227783,MP-S1,724
14489,0.45,1.5961434841156006,MP-S1,724
14490,0.5,1.9040429592132568,MP-S1,724
14491,0.55,1.9040429592132568,MP-S1,724
14492,0.6,1.7326076030731201,MP-S1,724
14493,0.65,1.9786639213562012,MP-S1,724
14494,0.7,2.1424338817596436,MP-S1,724
14495,0.75,2.1424338817596436,MP-S1,724
14496,0.8,1.9157401323318481,MP-S1,724
14497,0.85,1.5977863073349,MP-S1,724
14498,0.9,1.1320102214813232,MP-S1,724
14499,1.0,0.7845398187637329,MP-S1,724
14500,0.0,0.447691410779953,MP-S1,725
14501,0.05,0.447691410779953,MP-S1,725
14502,0.1,0.447691410779953,MP-S1,725
14503,0.15,0.447691410779953,MP-S1,725
14504,0.2,0.447691410779953,MP-S1,725
14505,0.25,0.4233018159866333,MP-S1,725
14506,0.3,0.4233018159866333,MP-S1,725
14507,0.35,0.4233018159866333,MP-S1,725
14508,0.4,0.4233018159866333,MP-S1,725
14509,0.45,0.4233018159866333,MP-S1,725
14510,0.5,0.4795789122581482,MP-S1,725
14511,0.55,0.27265849709510803,MP-S1,725
14512,0.6,0.14161799848079681,MP-S1,725
14513,0.65,0.3007431924343109,MP-S1,725
14514,0.7,0.40275734663009644,MP-S1,725
14515,0.75,0.5677980184555054,MP-S1,725
14516,0.8,0.6214421391487122,MP-S1,725
14517,0.85,0.703511118888855,MP-S1,725
14518,0.9,0.7332367300987244,MP-S1,725
14519,1.0,0.7780600190162659,MP-S1,725
14520,0.0,1.1119464635849,MP-S1,726
14521,0.05,1.1119464635849,MP-S1,726
14522,0.1,1.1777294874191284,MP-S1,726
14523,0.15,1.2486354112625122,MP-S1,726
14524,0.2,1.3138490915298462,MP-S1,726
14525,0.25,1.5994285345077515,MP-S1,726
14526,0.3,1.5994285345077515,MP-S1,726
14527,0.35,1.8701472282409668,MP-S1,726
14528,0.4,1.943386435508728,MP-S1,726
14529,0.45,1.9495856761932373,MP-S1,726
14530,0.5,1.9815136194229126,MP-S1,726
14531,0.55,0.8121256232261658,MP-S1,726
14532,0.6,2.3562209606170654,MP-S1,726
14533,0.65,2.282182455062866,MP-S1,726
14534,0.7,2.1784679889678955,MP-S1,726
14535,0.75,0.8604428172111511,MP-S1,726
14536,0.8,0.5291211009025574,MP-S1,726
14537,0.85,0.5294584035873413,MP-S1,726
14538,0.9,0.517096221446991,MP-S1,726
